Id,Name,name_ku,name_ar,Description,description_ku,description_ar,Image,Images,CategoryId,SubCategoryId,UnitId,Stock,Price,Discount,DiscountType,AvailableTimeStarts,AvailableTimeEnds,Variations,ChoiceOptions,AddOns,Attributes,StoreId,ModuleId,Status,Veg,Recommended
1,Chicken Biryani,برنجی مریشک,برياني الدجاج,"Delicious aromatic chicken biryani with basmati rice and traditional spices",برنجی مریشکی خۆشتام لەگەڵ برنجی باسماتی و بەهاراتی تەقلیدی,برياني دجاج لذيذ وعطر مع أرز البسمتي والبهارات التقليدية,def.png,[],1,,1,100,15000,10,percent,00:00:00,23:59:59,[],[],[],[],1,2,active,no,yes
2,Kurdish Kebab,کەبابی کوردی,كباب كردي,"Traditional Kurdish grilled meat kebab with fresh vegetables and bread",کەبابی گۆشتی برژاوی کوردی لەگەڵ سەوزە تازەکان و نان,كباب اللحم الكردي المشوي التقليدي مع الخضار الطازجة والخبز,def.png,[],1,,1,100,18000,0,amount,00:00:00,23:59:59,[],[],[],[],1,2,active,no,yes
3,"Dolma (Stuffed Vegetables)",دۆڵمە (سەوزەی پڕکراو),دولما (خضار محشية),"Traditional stuffed vegetables with rice, herbs, and spices",سەوزەی پڕکراوی تەقلیدی لەگەڵ برنج و گیا و بەهارات,"خضار محشية تقليدية بالأرز والأعشاب والبهارات",def.png,[],2,,1,100,12000,5,percent,00:00:00,23:59:59,[],[],[],[],1,2,active,yes,yes
4,Baklava Dessert,شیرینی بەقلاوە,حلوى البقلاوة,"Sweet layered pastry with nuts and honey syrup",شیرینی چین چین لەگەڵ گوێز و شلی هەنگوین,معجنات حلوة متعددة الطبقات بالمكسرات وشراب العسل,def.png,[],3,,1,100,8000,0,amount,00:00:00,23:59:59,[],[],[],[],2,2,active,yes,no
5,"Kurdish Tea (Chai)",چای کوردی,شاي كردي,"Traditional Kurdish black tea served in glass cups with sugar",چای ڕەشی تەقلیدی کوردی کە لە کوپی شووشەدا دەخرێتە ڕوو لەگەڵ شەکر,شاي أسود كردي تقليدي يُقدم في أكواب زجاجية مع السكر,def.png,[],4,,1,100,2000,0,amount,00:00:00,23:59:59,[],[],[],[],3,2,active,yes,yes
6,Masgouf Fish,ماسی مەسگوف,سمك المسكوف,"Traditional Iraqi grilled carp fish with tanoor bread",ماسی کارپی برژاوی عێراقی لەگەڵ نانی تەنوور,سمك الكارب العراقي المشوي مع خبز التنور,def.png,[],1,,1,50,25000,15,percent,00:00:00,23:59:59,[],[],[],[],1,2,active,no,yes
7,Kurdish Yogurt Soup,شۆربای ماست,شوربة اللبن,"Traditional cold yogurt soup with cucumber and herbs",شۆربای ماستی سارد لەگەڵ خەیار و گیاکان,شوربة لبن باردة تقليدية مع الخيار والأعشاب,def.png,[],2,,1,100,5000,0,amount,00:00:00,23:59:59,[],[],[],[],1,2,active,yes,no
8,Kubba Mosul,کوبەی موسڵ,كبة الموصل,"Fried bulgur shells stuffed with minced meat",توێکڵی برغلی سورکراو پڕ لە گۆشتی ورد,قشور البرغل المقلية المحشوة باللحم المفروم,def.png,[],2,,1,100,14000,10,percent,00:00:00,23:59:59,[],[],[],[],1,2,active,no,yes
9,Kurdish Bread,نانی کوردی,خبز كردي,"Fresh traditional Kurdish flatbread from tanoor oven",نانی تازەی کوردی لە تەنووری گەرم,خبز كردي تقليدي طازج من فرن التنور,def.png,[],5,,1,200,1000,0,amount,00:00:00,23:59:59,[],[],[],[],2,2,active,yes,yes
10,Qeema Stew,خۆراکی قیمە,يخنة القيمة,"Minced meat stew with chickpeas and tomatoes",خۆراکی گۆشتی ورد لەگەڵ نۆک و تەماتە,يخنة اللحم المفروم مع الحمص والطماطم,def.png,[],1,,1,100,16000,5,percent,00:00:00,23:59:59,[],[],[],[],1,2,active,no,yes