name_en,name_ar,name_ckb,description_en,description_ar,description_ckb,category_id,store_id,price,discount,tax,stock,status,veg,images,choice_options,add_ons,attributes
"Grilled Chicken Kebab","كباب الدجاج المشوي","كباب مریشك","Tender grilled chicken marinated with herbs and spices, served with rice and salad","دجاج مشوي طري متبل بالأعشاب والتوابل، يقدم مع الأرز والسلطة","مریشكی شواوی نه‌رم بە گیا و بهارات مه‌زه‌كراو، له‌گه‌ڵ برینج و سه‌لاتا","66396",28,15.99,0,2.5,50,1,0,"grilled-chicken.jpg","[{""name"":""Spice Level"",""type"":""single"",""values"":[""Mild"",""Medium"",""Spicy""]}]","[1,2,3]","[4,5]"
"Lamb Shawarma","شاورما اللحم","شاوه‌رمای گۆشتی مه‌ش","Slow-cooked lamb with Middle Eastern spices, wrapped in fresh pita bread","لحم ضأن مطبوخ ببطء بالتوابل الشرق أوسطية، ملفوف في خبز البيتا الطازج","گۆشتی مه‌شی لای هێمن په‌خراو بە بهاراتی ڕۆژهه‌ڵاتی ناوه‌ڕاست، له‌ نانی پیتای تازه‌دا پێچراوه‌","66396",28,12.50,1.50,2,40,1,0,"lamb-shawarma.jpg","[{""name"":""Bread Type"",""type"":""single"",""values"":[""Pita"",""Lavash"",""Regular""]}]","[2,3,6]","[4,7]"
"Vegetable Biryani","برياني الخضار","برینجی سه‌وزه‌میشك","Aromatic basmati rice cooked with mixed vegetables and traditional spices","أرز بسمتي عطري مطبوخ مع الخضار المختلطة والتوابل التقليدية","برینجی باسمه‌تی بۆن خۆش به‌ سه‌وزه‌میشكی تێكه‌ڵ و بهاراتی نه‌ریتی په‌خراو","66397",28,10.75,0,1.8,30,1,1,"veg-biryani.jpg","[{""name"":""Rice Type"",""type"":""single"",""values"":[""Basmati"",""Regular""]},{""name"":""Spice Level"",""type"":""single"",""values"":[""Mild"",""Medium""]}]","[1,4,5]","[8,9]"
"Mixed Grill Platter","طبق الشواء المختلط","قاپی شواوی تێكه‌ڵ","A selection of grilled meats including chicken, lamb, and kofta served with sides","مجموعة من اللحوم المشوية تشمل الدجاج والضأن والكفتة تقدم مع الأطباق الجانبية","هه‌ڵبژاردنێك له‌ گۆشتی شواو وه‌ك مریشك و مه‌ش و كوفتا له‌گه‌ڵ خواردنه‌ جیا جیاكان","66400",28,22.99,2.99,3.5,25,1,0,"mixed-grill.jpg","[{""name"":""Meat Selection"",""type"":""multiple"",""values"":[""Chicken"",""Lamb"",""Beef Kofta"",""All""]}]","[1,2,3,6]","[4,5,7]"
"Hummus with Falafel","حمص مع الفلافل","حوممس له‌گه‌ڵ فه‌لافه‌ڵ","Creamy chickpea dip served with crispy falafel balls and fresh vegetables","غموس الحمص الكريمي يقدم مع كرات الفلافل المقرمشة والخضار الطازجة","نۆكی كه‌ریمی نۆك له‌گه‌ڵ گوڵه‌ فه‌لافه‌ڵی ترو و سه‌وزه‌میشكی تازه‌","66396",28,8.25,0.25,1.5,60,1,1,"hummus-falafel.jpg","[{""name"":""Portion Size"",""type"":""single"",""values"":[""Regular"",""Large""]}]","[4,5,8]","[8,9,10]"
"Baklava Dessert","حلوى البقلاوة","شیرینی به‌قلاوا","Traditional Middle Eastern pastry with nuts and honey syrup","معجنات شرق أوسطية تقليدية بالمكسرات وشراب العسل","شیرینی نه‌ریتی ڕۆژهه‌ڵاتی ناوه‌ڕاست بە گوێز و شه‌ربه‌تی هه‌نگوین","66401",28,6.50,0,1.2,35,1,1,"baklava.jpg","[{""name"":""Nuts Type"",""type"":""single"",""values"":[""Pistachio"",""Walnut"",""Mixed""]}]","[9,10]","[11,12]"
"Arabic Coffee","قهوة عربية","قاوه‌ی عه‌ره‌بی","Traditional Arabic coffee served with dates and sweets","قهوة عربية تقليدية تقدم مع التمر والحلويات","قاوه‌ی عه‌ره‌بی نه‌ریتی له‌گه‌ڵ خورما و شیرینی","66402",28,4.75,0,0.8,100,1,1,"arabic-coffee.jpg","[{""name"":""Sweetness"",""type"":""single"",""values"":[""No Sugar"",""Light"",""Medium"",""Sweet""]}]","[9,10,11]","[13]"
"Kurdish Dolma","دولمة كردية","دۆڵمه‌ی كوردی","Grape leaves stuffed with rice, herbs, and spices, a Kurdish specialty","أوراق عنب محشوة بالأرز والأعشاب والتوابل، اختصاص كردي","گه‌ڵای مێو پڕكراو له‌ برینج و گیا و بهارات، خواردنی تایبه‌تی كوردی","66396",28,9.99,0.99,1.8,45,1,1,"kurdish-dolma.jpg","[{""name"":""Serving Style"",""type"":""single"",""values"":[""Hot"",""Cold""]}]","[4,5,12]","[8,9,14]"
"Grilled Fish","سمك مشوي","ماسی شواو","Fresh fish grilled to perfection with lemon and herbs","سمك طازج مشوي على النار مع الليمون والأعشاب","ماسی تازه‌ به‌ تێكڕا شواو كراو له‌گه‌ڵ لیمۆ و گیا","66403",28,18.50,1,2.8,20,1,0,"grilled-fish.jpg","[{""name"":""Fish Type"",""type"":""single"",""values"":[""Salmon"",""Sea Bass"",""Trout""]}]","[6,7,13]","[4,15]"
"Lentil Soup","شوربة العدس","شۆربای نیسك","Traditional red lentil soup with vegetables and Middle Eastern spices","شوربة العدس الأحمر التقليدية بالخضار وتوابل الشرق الأوسط","شۆربای نیسكی سوری نه‌ریتی به‌ سه‌وزه‌میش و بهاراتی ڕۆژهه‌ڵاتی ناوه‌ڕاست","66397",28,5.99,0,1,80,1,1,"lentil-soup.jpg","[{""name"":""Bread"",""type"":""single"",""values"":[""With Bread"",""Without Bread""]}]","[12,13]","[16]"